Atomic_Percent_Cu,Ideal_Density_20C,Real_Density_20C,Real_Density_1000.0C,Defect_Density
0,9.0160,9.0160,8.6741,9.0160
1,9.0156,9.0080,8.6657,9.0080
2,9.0152,9.0002,8.6574,9.0002
3,9.0149,8.9926,8.6492,8.9926
4,9.0145,8.9851,8.6412,8.9851
5,9.0141,8.9778,8.6334,8.9778
6,9.0137,8.9706,8.6257,8.9706
7,9.0133,8.9636,8.6182,8.9636
8,9.0130,8.9568,8.6108,8.9568
9,9.0126,8.9501,8.6036,8.9501
10,9.0122,8.9436,8.5965,8.9436
11,9.0118,8.9372,8.5896,8.9372
12,9.0114,8.9310,8.5829,8.9310
13,9.0110,8.9249,8.5762,8.9249
14,9.0106,8.9190,8.5698,8.9190
15,9.0101,8.9133,8.5635,8.9133
16,9.0097,8.9077,8.5573,8.9077
17,9.0093,8.9023,8.5513,8.9023
18,9.0089,8.8970,8.5455,8.8970
19,9.0085,8.8919,8.5398,8.8919
20,9.0081,8.8869,8.5342,8.8869
21,9.0076,8.8821,8.5288,8.8821
22,9.0072,8.8775,8.5235,8.8775
23,9.0068,8.8730,8.5184,8.8730
24,9.0063,8.8686,8.5135,8.8686
25,9.0059,8.8644,8.5086,8.8644
26,9.0055,8.8603,8.5040,8.8603
27,9.0050,8.8564,8.4994,8.8564
28,9.0046,8.8527,8.4950,8.8527
29,9.0041,8.8491,8.4908,8.8491
30,9.0037,8.8456,8.4867,8.8456
31,9.0032,8.8423,8.4827,8.8423
32,9.0028,8.8392,8.4789,8.8392
33,9.0023,8.8361,8.4753,8.8361
34,9.0018,8.8333,8.4717,8.8333
35,9.0014,8.8306,8.4683,8.8306
36,9.0009,8.8280,8.4651,8.8280
37,9.0004,8.8256,8.4620,8.8256
38,8.9999,8.8233,8.4590,8.8233
39,8.9995,8.8212,8.4562,8.8212
40,8.9990,8.8192,8.4536,8.8192
41,8.9985,8.8174,8.4510,8.8174
42,8.9980,8.8157,8.4486,8.8157
43,8.9975,8.8142,8.4464,8.8142
44,8.9970,8.8128,8.4443,8.8128
45,8.9966,8.8115,8.4423,8.8115
46,8.9961,8.8104,8.4404,8.8104
47,8.9956,8.8095,8.4387,8.8095
48,8.9951,8.8086,8.4372,8.8086
49,8.9946,8.8080,8.4358,8.8080
50,8.9940,8.8075,8.4345,8.8075
51,8.9935,8.8071,8.4334,8.8071
52,8.9930,8.8068,8.4324,8.8068
53,8.9925,8.8068,8.4315,8.8068
54,8.9920,8.8068,8.4308,8.8068
55,8.9915,8.8070,8.4302,8.8070
56,8.9910,8.8073,8.4297,8.8073
57,8.9904,8.8078,8.4294,8.8078
58,8.9899,8.8085,8.4292,8.8085
59,8.9894,8.8092,8.4292,8.8092
60,8.9888,8.8102,8.4293,8.8102
61,8.9883,8.8112,8.4295,8.8112
62,8.9878,8.8124,8.4299,8.8124
63,8.9872,8.8138,8.4304,8.8138
64,8.9867,8.8153,8.4311,8.8153
65,8.9861,8.8169,8.4319,8.8169
66,8.9856,8.8187,8.4328,8.8187
67,8.9850,8.8206,8.4339,8.8206
68,8.9845,8.8227,8.4351,8.8227
69,8.9839,8.8249,8.4364,8.8249
70,8.9834,8.8272,8.4379,8.8272
71,8.9828,8.8297,8.4395,8.8297
72,8.9822,8.8324,8.4412,8.8324
73,8.9817,8.8352,8.4431,8.8352
74,8.9811,8.8381,8.4451,8.8381
75,8.9805,8.8412,8.4473,8.8412
76,8.9800,8.8444,8.4496,8.8444
77,8.9794,8.8478,8.4520,8.8478
78,8.9788,8.8513,8.4546,8.8513
79,8.9782,8.8549,8.4573,8.8549
80,8.9776,8.8587,8.4602,8.8587
81,8.9770,8.8627,8.4631,8.8627
82,8.9765,8.8668,8.4663,8.8668
83,8.9759,8.8710,8.4695,8.8710
84,8.9753,8.8754,8.4729,8.8754
85,8.9747,8.8799,8.4765,8.8799
86,8.9741,8.8846,8.4801,8.8846
87,8.9735,8.8894,8.4840,8.8894
88,8.9729,8.8944,8.4879,8.8944
89,8.9723,8.8995,8.4920,8.8995
90,8.9717,8.9047,8.4962,8.9047
91,8.9710,8.9101,8.5006,8.9101
92,8.9704,8.9157,8.5051,8.9157
93,8.9698,8.9214,8.5098,8.9214
94,8.9692,8.9272,8.5146,8.9272
95,8.9686,8.9332,8.5195,8.9332
96,8.9680,8.9394,8.5246,8.9394
97,8.9673,8.9457,8.5298,8.9457
98,8.9667,8.9521,8.5352,8.9521
99,8.9661,8.9587,8.5407,8.9587
100,8.9654,8.9654,8.5463,8.9654
